ts,battle,fit,hull,ehp,raw_hp,killed,survival_s,final_shield,final_armor,final_hull,first_dmg_s
1783735015,1,cormorant_shield_buffer,16238,2969,2225,0,120.0,0.47596,1.0,1.0,52.5
1783735202,2,incursus_armor_active,594,1394,1049,0,120.0,0.0,0.509912,0.99611,52.3
1783735391,3,merlin_dual_light,603,1527,1133,0,120.0,0.939332,1.0,1.0,52.4
1783735576,4,merlin_shield_active,603,1527,1133,0,120.0,0.202382,1.0,1.0,52.3
1783735763,5,merlin_shield_buffer,603,1527,1133,0,120.0,0.96798,1.0,1.0,52.3
1783735950,6,merlin_shield_resist,603,1527,1133,0,120.0,0.165231,1.0,1.0,52.3
1783736134,7,merlin_untanked,603,1527,1133,0,120.0,0.93182,1.0,1.0,52.3
1783736317,8,punisher_heavy_armor,597,1627,1251,0,120.0,0.901355,1.0,1.0,52.4
1783736499,9,rifter_armor_buffer,587,1405,1078,0,120.0,0.006953,1.0,1.0,52.4
1783736682,10,rifter_armor_resist,587,1405,1078,0,120.0,0.883426,1.0,1.0,52.4
1783736865,11,cormorant_shield_buffer,16238,2969,2225,0,120.0,0.527216,1.0,1.0,52.4
1783737050,12,incursus_armor_active,594,1394,1049,0,120.0,0.912753,1.0,1.0,52.4
1783737236,13,merlin_dual_light,603,1527,1133,0,120.0,0.218613,1.0,1.0,52.5
1783737420,14,merlin_shield_active,603,1527,1133,0,120.0,0.969993,1.0,1.0,52.4
1783737604,15,merlin_shield_buffer,603,1527,1133,0,120.0,0.953983,1.0,1.0,52.4
1783737790,16,merlin_shield_resist,603,1527,1133,0,120.0,0.933425,1.0,1.0,52.3
1783737971,17,merlin_untanked,603,1527,1133,0,120.0,0.902236,1.0,1.0,52.6
1783738253,19,rifter_armor_buffer,587,1405,1078,0,120.0,0.943997,1.0,1.0,52.5
1783738437,20,rifter_armor_resist,587,1405,1078,0,120.0,0.946524,1.0,1.0,52.5
1783738623,21,cormorant_shield_buffer,16238,2969,2225,0,120.0,0.516,1.0,1.0,52.4
1783738807,22,incursus_armor_active,594,1394,1049,0,120.0,0.0,0.644669,0.998298,52.5
1783738994,23,merlin_dual_light,603,1527,1133,0,120.0,0.249621,1.0,1.0,52.5
1783739267,25,merlin_shield_buffer,603,1527,1133,0,120.0,0.946062,1.0,1.0,52.5
1783739453,26,merlin_shield_resist,603,1527,1133,0,120.0,0.895526,1.0,1.0,52.5
1783739635,27,merlin_untanked,603,1527,1133,0,120.0,0.931198,1.0,1.0,52.5
1783739819,28,punisher_heavy_armor,597,1627,1251,0,120.0,0.0,0.898609,1.0,52.6
1783740004,29,rifter_armor_buffer,587,1405,1078,0,120.0,0.021858,1.0,1.0,52.6
1783740188,30,rifter_armor_resist,587,1405,1078,0,120.0,0.936237,1.0,1.0,52.6
1783740374,31,cormorant_shield_buffer,16238,2969,2225,0,120.0,0.500739,1.0,1.0,52.5
1783740561,32,incursus_armor_active,594,1394,1049,0,120.0,0.0,0.621268,0.997927,52.6
1783740747,33,merlin_dual_light,603,1527,1133,0,120.0,0.93717,1.0,1.0,52.5
1783740933,34,merlin_shield_active,603,1527,1133,0,120.0,0.928958,1.0,1.0,52.7
1783741119,35,merlin_shield_buffer,603,1527,1133,0,120.0,0.926487,1.0,1.0,52.5
1783741307,36,merlin_shield_resist,603,1527,1133,0,120.0,0.917687,1.0,1.0,52.5
1783741491,37,merlin_untanked,603,1527,1133,0,120.0,0.93867,1.0,1.0,52.6
1783741677,38,punisher_heavy_armor,597,1627,1251,0,120.0,0.896341,1.0,1.0,52.5
1783741864,39,rifter_armor_buffer,587,1405,1078,0,120.0,0.902612,1.0,1.0,52.5
1783742050,40,rifter_armor_resist,587,1405,1078,0,120.0,0.899465,1.0,1.0,52.6
1783742238,41,cormorant_shield_buffer,16238,2969,2225,0,120.0,0.472334,1.0,1.0,52.6
1783742425,42,incursus_armor_active,594,1394,1049,0,120.0,0.0,0.577215,0.997225,52.5
1783742613,43,merlin_dual_light,603,1527,1133,0,120.0,0.927554,1.0,1.0,52.6
1783742867,45,merlin_shield_buffer,603,1527,1133,0,120.0,0.955625,1.0,1.0,52.5
1783743055,46,merlin_shield_resist,603,1527,1133,0,120.0,0.909326,1.0,1.0,52.7
1783743354,48,punisher_heavy_armor,597,1627,1251,0,120.0,0.927433,1.0,1.0,52.5
1783743541,49,rifter_armor_buffer,587,1405,1078,0,120.0,0.914648,1.0,1.0,52.6
